visit_id	wifi_id	date	indices
v15173	19305	17244	335411;335412;335413;335430;335431;335434;335435;335436
v15174	19305	17276	407671;407672
v15487	19867	17224	255829;255830;255831;255832;255836;255848;255849;255852;255880;256079;256094;256505;256506;256514;256516;256517
v15495	19898	17230	279716;279717;279724;279725;279726;279729;279756;279801;279833
v15532	19957	17167	3587;3588;3593;3618;3679;3693;3706;3749;3750;3759;3762;3774;3796;3799;3806;3810;5074;5076;5083
v15540	19975	17314	472689;472690;472691;472692;472694;472695;472731;472737;472738;472854;472857;472860
v15709	20384	17167	6951
v15710	20384	17245	336221;336222;336223;336224;336225;336227;336228;336229;336232;336233;336236;336237
v15711	20384	17270	394248;394249;394250;394261
v15749	20464	17213	205572;205573;205574;205575;205576;205577;205579;205591;205592;205593;205595;205596;205600;205604;205605;205606;205607;205608;205614;205779
v16116	21260	17205	174704;174710;174711;174716;174755;174778;174810;174843;174857;174858;174866;174887;174888;175183;175185;175196;175200;175213;175219;175230;175281
v16186	21389	17194	120379;120380;120381;120383;120391;120392;120393;120400;120401;120413;120414;120426;120427;120428;120429;120430;120431;120432;120434;120435
v16367	21770	17210	197541;197542
v16461	21980	17183	73088;73089;73094;73150;73151;73179;73190;73193;73195
v16462	21980	17218	229600;229602;229603;229604;229615;229617
v16499	22050	17259	383548;383549;383550;383551;383562;383592;383606;383693;383715;385219;385220;385221;385222;385228;385229
v16555	22156	17223	250559;250560;250562;250564;250568;250581;250589;250615;250624
v16556	22156	17264	388788;388789;388791;388792;388793;388799;388801
v16579	22202	17343	528876;528877;528942;528943;528944;528945;528980;529046;529047;529071;529079;529101;529102;529121;529122;529123
v16612	22265	17173	36083;36085;36159
v16613	22265	17216	222222;222224;222255;222419;222420;222436;222447;222459;222479;222483
v16614	22265	17308	462093;462094;462095;462096
v16633	22321	17246	339914;339915;339927;339928;339965;339966;339975;339991;340007
v16634	22321	17260	385490;385758
v16724	22551	17188	96922;96923;96924;96927;96931;96932;96933;96937
v16725	22551	17303	452543;452544;452545;452546;452562;452627;452696;452697;452698
v16785	22697	17175	43686
v16822	22794	17317	481763;481764;481765;481766
v16823	22794	17318	483302;483303
v16824	22794	17319	483672;483673;483674;483675;483684;483692;483693;483694;483695;483696;483699;483741;483758
v16907	22961	17206	179469;179470;179476;179477;179520;179603;179605;179606;179609;179621;179717;179842;179844;179866;179872;179882;179884;179885;179933;179939
v17028	23287	17183	73330;73331;73332;73333;73334;73335;73337;73338;73339;73348;73378;73379;73383;73389;73390;73392;73436
v17081	23408	17183	75833;75836;75837;75841;75858;75863
